SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned,Rating
24223,"75099","1","Star Wars","The Force Awakens","2015","Rey's Speeder",2,193,19.99,19.99,24.99,26.99,"http://images.brickset.com/sets/images/75099-1.jpg","Yes","No",1,
24787,"75128","1","Star Wars","MicroFighters","2016","TIE Advanced Prototype",1,93,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/75128-1.jpg","Yes","No",1,
24788,"75129","1","Star Wars","MicroFighters","2016","Wookiee Gunship",1,84,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/75129-1.jpg","Yes","No",1,
24789,"75130","1","Star Wars","MicroFighters","2016","AT-DP",1,76,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/75130-1.jpg","Yes","No",1,
24790,"75131","1","Star Wars","The Force Awakens","2016","Resistance Trooper Battle Pack",4,112,11.99,12.99,15.99,16.99,"http://images.brickset.com/sets/images/75131-1.jpg","Yes","No",2,
24791,"75132","1","Star Wars","The Force Awakens","2016","First Order Battle Pack",4,88,11.99,12.99,15.99,16.99,"http://images.brickset.com/sets/images/75132-1.jpg","Yes","No",1,
24792,"75134","1","Star Wars","Battlefront","2016","Galactic Empire Battle Pack",4,109,11.99,12.99,15.99,16.99,"http://images.brickset.com/sets/images/75134-1.jpg","Yes","No",1,
24796,"75137","1","Star Wars","Episode V","2016","Carbon-Freezing Chamber",3,231,19.99,24.99,29.99,29.99,"http://images.brickset.com/sets/images/75137-1.jpg","Yes","No",1,
24797,"75138","1","Star Wars","Episode V","2016","Hoth Attack",4,233,19.99,24.99,29.99,29.99,"http://images.brickset.com/sets/images/75138-1.jpg","Yes","No",1,
25898,"75145","1","Star Wars","Original Content","2016","Eclipse Fighter",2,363,34.99,29.99,39.99,39.99,"http://images.brickset.com/sets/images/75145-1.jpg","Yes","No",1,
23200,"76015","1","Marvel Super Heroes","Ultimate Spider-Man","2014","Doc Ock Truck Heist",3,237,19.99,19.99,24.99,24.99,"http://images.brickset.com/sets/images/76015-1.jpg","Yes","No",1,
